[INFO - 2024-01-22 20:23:04,843][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 20:23:05,130][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 20:53:06,270][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 20:53:07,116][__main__] Determining which files need processing
[INFO - 2024-01-22 20:53:07,117][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 20:53:07,118][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 20:53:07,845][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 20:53:08,274][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 20:53:08,713][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 20:53:09,235][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 20:53:09,573][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 20:53:10,194][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 21:23:11,011][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 21:23:11,785][__main__] Determining which files need processing
[INFO - 2024-01-22 21:23:11,786][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 21:23:11,787][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 21:23:12,672][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 21:23:13,145][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 21:23:13,538][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 21:23:14,356][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 21:23:14,665][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 21:23:15,033][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
[INFO - 2024-01-22 21:23:15,331][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 21:53:16,210][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 21:53:16,838][__main__] Determining which files need processing
[INFO - 2024-01-22 21:53:16,839][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 21:53:16,840][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 21:53:17,382][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 21:53:17,829][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 21:53:18,235][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 21:53:18,514][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 21:53:18,992][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 21:53:19,305][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
[INFO - 2024-01-22 21:53:19,874][__main__] Attempting retreival of download url data for "The Office - s06e14 - The Banker.mp4"
[INFO - 2024-01-22 21:53:20,268][__main__] Attempting retreival of download url data for "The Office - s06e15 - Sabre.mp4"
[INFO - 2024-01-22 21:53:20,647][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 22:23:21,534][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 22:23:22,440][__main__] Determining which files need processing
[INFO - 2024-01-22 22:23:22,440][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 22:23:22,442][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 22:23:22,976][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 22:23:23,278][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 22:23:23,898][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 22:23:24,274][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 22:23:24,530][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 22:23:24,856][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
[INFO - 2024-01-22 22:23:25,486][__main__] Attempting retreival of download url data for "The Office - s06e14 - The Banker.mp4"
[INFO - 2024-01-22 22:23:25,907][__main__] Attempting retreival of download url data for "The Office - s06e15 - Sabre.mp4"
[INFO - 2024-01-22 22:23:26,180][__main__] Attempting retreival of download url data for "The Office - s06e16 - Manager and Salesman.mp4"
[INFO - 2024-01-22 22:23:26,566][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 22:53:27,378][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 22:53:28,107][__main__] Determining which files need processing
[INFO - 2024-01-22 22:53:28,108][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 22:53:28,110][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 22:53:28,585][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 22:53:29,132][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 22:53:29,453][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 22:53:29,767][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 22:53:30,153][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 22:53:30,472][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
[INFO - 2024-01-22 22:53:30,805][__main__] Attempting retreival of download url data for "The Office - s06e14 - The Banker.mp4"
[INFO - 2024-01-22 22:53:31,252][__main__] Attempting retreival of download url data for "The Office - s06e15 - Sabre.mp4"
[INFO - 2024-01-22 22:53:31,652][__main__] Attempting retreival of download url data for "The Office - s06e16 - Manager and Salesman.mp4"
[INFO - 2024-01-22 22:53:31,989][__main__] Attempting retreival of download url data for "The Office - s06e17 - The Delivery Part 1.mp4"
[INFO - 2024-01-22 22:53:32,407][__main__] Waiting for 30 minutes before checking for available downloads.
[INFO - 2024-01-22 22:54:13,140][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-22 22:54:13,694][__main__] Determining which files need processing
[INFO - 2024-01-22 22:54:13,695][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-22 22:54:13,695][__main__] Attempting retreival of download url data for "The Office - s06e07 - The Lover.mp4"
[INFO - 2024-01-22 22:54:14,190][__main__] Generating download url for "The Office - s06e07 - The Lover.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:14,190][__main__] Attempting retreival of download url data for "The Office - s06e08 - Koi Pond.mp4"
[INFO - 2024-01-22 22:54:14,694][__main__] Generating download url for "The Office - s06e08 - Koi Pond.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:14,695][__main__] Attempting retreival of download url data for "The Office - s06e09 - Double Date.mp4"
[INFO - 2024-01-22 22:54:15,057][__main__] Generating download url for "The Office - s06e09 - Double Date.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:15,057][__main__] Attempting retreival of download url data for "The Office - s06e10 - Murder.mp4"
[INFO - 2024-01-22 22:54:15,411][__main__] Generating download url for "The Office - s06e10 - Murder.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:15,412][__main__] Attempting retreival of download url data for "The Office - s06e11 - Shareholder Meeting.mp4"
[INFO - 2024-01-22 22:54:16,026][__main__] Generating download url for "The Office - s06e11 - Shareholder Meeting.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:16,027][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-22 22:54:16,490][__main__] Generating download url for "The Office - s06e12 - Scott's Tots.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:16,491][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
[INFO - 2024-01-22 22:54:16,974][__main__] Generating download url for "The Office - s06e13 - Secret Santa.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:16,975][__main__] Attempting retreival of download url data for "The Office - s06e14 - The Banker.mp4"
[INFO - 2024-01-22 22:54:17,728][__main__] Generating download url for "The Office - s06e14 - The Banker.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:17,729][__main__] Attempting retreival of download url data for "The Office - s06e15 - Sabre.mp4"
[INFO - 2024-01-22 22:54:18,198][__main__] Generating download url for "The Office - s06e15 - Sabre.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:18,199][__main__] Attempting retreival of download url data for "The Office - s06e16 - Manager and Salesman.mp4"
[INFO - 2024-01-22 22:54:18,682][__main__] Generating download url for "The Office - s06e16 - Manager and Salesman.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:18,682][__main__] Attempting retreival of download url data for "The Office - s06e17 - The Delivery Part 1.mp4"
[INFO - 2024-01-22 22:54:19,311][__main__] Generating download url for "The Office - s06e17 - The Delivery Part 1.mp4" with Playon Api data
[INFO - 2024-01-22 22:54:19,311][__main__] Attempting Download of "The Office - s06e07 - The Lover.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:23,844][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e07 - The Lover.mp4" complete.
[INFO - 2024-01-22 22:54:23,844][__main__] Attempting Download of "The Office - s06e08 - Koi Pond.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:29,248][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e08 - Koi Pond.mp4" complete.
[INFO - 2024-01-22 22:54:29,248][__main__] Attempting Download of "The Office - s06e09 - Double Date.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:34,852][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e09 - Double Date.mp4" complete.
[INFO - 2024-01-22 22:54:34,852][__main__] Attempting Download of "The Office - s06e10 - Murder.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:41,330][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e10 - Murder.mp4" complete.
[INFO - 2024-01-22 22:54:41,330][__main__] Attempting Download of "The Office - s06e11 - Shareholder Meeting.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:45,379][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e11 - Shareholder Meeting.mp4" complete.
[INFO - 2024-01-22 22:54:45,379][__main__] Attempting Download of "The Office - s06e12 - Scott's Tots.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:50,713][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e12 - Scott's Tots.mp4" complete.
[INFO - 2024-01-22 22:54:50,713][__main__] Attempting Download of "The Office - s06e13 - Secret Santa.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:54,731][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e13 - Secret Santa.mp4" complete.
[INFO - 2024-01-22 22:54:54,731][__main__] Attempting Download of "The Office - s06e14 - The Banker.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:54:59,129][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e14 - The Banker.mp4" complete.
[INFO - 2024-01-22 22:54:59,129][__main__] Attempting Download of "The Office - s06e15 - Sabre.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:55:03,159][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e15 - Sabre.mp4" complete.
[INFO - 2024-01-22 22:55:03,164][__main__] Attempting Download of "The Office - s06e16 - Manager and Salesman.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:55:08,534][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e16 - Manager and Salesman.mp4" complete.
[INFO - 2024-01-22 22:55:08,534][__main__] Attempting Download of "The Office - s06e17 - The Delivery Part 1.mp4" to "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed"
[INFO - 2024-01-22 22:55:12,862][__main__] Download for "/Users/jasonschultheis/Documents/github/pyplayonwm/unprocessed/The Office - s06e17 - The Delivery Part 1.mp4" complete.
[INFO - 2024-01-23 00:07:51,596][__main__] Retreiving list of recorded files from PlayOn API
[INFO - 2024-01-23 00:07:52,143][__main__] Determining which files need processing
[INFO - 2024-01-23 00:07:52,144][__main__] Writing files to process to pyplayonwm/data/unprocessed_files.txt
[INFO - 2024-01-23 00:07:52,145][__main__] Attempting retreival of download url data for "The Office - s06e12 - Scott's Tots.mp4"
[INFO - 2024-01-23 00:07:52,727][__main__] Generating download url for "The Office - s06e12 - Scott's Tots.mp4" with Playon Api data
[INFO - 2024-01-23 00:07:52,727][__main__] Attempting retreival of download url data for "The Office - s06e13 - Secret Santa.mp4"
